id,drug_name,category,mechanism,key_points,side_effects,note,familiarity,review_count,last_reviewed_at,created_at,updated_at
2,Aspirin,NSAID / 抗血小板,不可逆抑制 COX-1/COX-2，低劑量抑制血小板 TXA2 生成。,常考抗血小板用途、不可逆抑制、避免兒童病毒感染時使用。,胃潰瘍、出血、耳鳴、氣喘惡化、Reye syndrome。,飯後服用可降低胃部不適；手術前需評估停藥。,不熟,17,2026-07-08 12:23:50,2026-07-08 11:47:22,2026-07-08 12:23:50
3,Warfarin,抗凝血藥,抑制 vitamin K epoxide reductase，降低 II、VII、IX、X 與 protein C/S 活化。,監測 INR；與多種藥物及飲食交互作用；起效慢。,出血、皮膚壞死、胎兒畸形。,解毒可用 vitamin K；嚴重出血考慮 PCC。,不熟,5,2026-07-08 12:23:50,2026-07-08 11:47:22,2026-07-08 12:23:50
4,Metformin,Biguanide 降血糖藥,降低肝臟糖質新生，增加周邊胰島素敏感性。,第二型糖尿病第一線；不造成明顯低血糖；可能減重。,腸胃不適、乳酸中毒、B12 缺乏。,腎功能差或顯影劑檢查前後需注意。,普通,1,2026-07-08 12:18:52,2026-07-08 11:47:22,2026-07-08 12:18:52
5,Atorvastatin,Statin 降血脂藥,抑制 HMG-CoA reductase，降低肝臟膽固醇合成並增加 LDL receptor。,降低 LDL；心血管風險控制常用；晚上或固定時間服用。,肌肉痠痛、橫紋肌溶解、肝指數上升。,注意與 CYP3A4 抑制劑交互作用。,普通,1,2026-07-08 12:18:55,2026-07-08 11:47:22,2026-07-08 12:18:55
6,Amoxicillin,Penicillin 類抗生素,抑制細菌細胞壁 peptidoglycan 交聯。,常用於呼吸道、中耳炎、部分牙科感染；可與 clavulanate 合併。,過敏、皮疹、腹瀉、C. difficile 感染。,青黴素過敏史要先確認。,普通,2,2026-07-08 12:23:31,2026-07-08 11:47:22,2026-07-08 12:23:31
7,Omeprazole,PPI 胃酸抑制劑,不可逆抑制胃壁細胞 H+/K+ ATPase。,GERD、消化性潰瘍、H. pylori 療法常見；飯前服用效果佳。,低鎂、B12 缺乏、感染風險增加、骨折風險。,長期使用需定期評估必要性。,普通,1,2026-07-08 12:18:58,2026-07-08 11:47:22,2026-07-08 12:18:58
8,Albuterol,短效 beta-2 agonist,刺激 beta-2 受體，使支氣管平滑肌放鬆。,急性氣喘緩解藥；不是長期控制單方首選。,心悸、手抖、低血鉀。,使用頻率增加代表控制不佳，需重新評估治療。,普通,1,2026-07-08 12:19:00,2026-07-08 11:47:22,2026-07-08 12:19:00
9,Morphine,Opioid 止痛藥,活化 mu opioid receptor，抑制疼痛傳遞。,重度疼痛；呼吸抑制與縮瞳是經典考點。,便秘、嗜睡、呼吸抑制、噁心、成癮。,解毒可用 naloxone；便秘常需預防處理。,普通,2,2026-07-08 12:23:32,2026-07-08 11:47:22,2026-07-08 12:23:32
10,Aspirin,NSAID / 抗血小板,不可逆抑制 COX-1/COX-2，低劑量抑制血小板 TXA2 生成。,常考抗血小板用途、不可逆抑制、避免兒童病毒感染時使用。,胃潰瘍、出血、耳鳴、氣喘惡化、Reye syndrome。,飯後服用可降低胃部不適；手術前需評估停藥。,不熟,0,,2026-07-08 16:53:00,2026-07-08 16:53:00
11,Warfarin,抗凝血藥,抑制 vitamin K epoxide reductase，降低 II、VII、IX、X 與 protein C/S 活化。,監測 INR；與多種藥物及飲食交互作用；起效慢。,出血、皮膚壞死、胎兒畸形。,解毒可用 vitamin K；嚴重出血考慮 PCC。,不熟,0,,2026-07-08 16:53:00,2026-07-08 16:53:00
12,Metformin,Biguanide 降血糖藥,降低肝臟糖質新生，增加周邊胰島素敏感性。,第二型糖尿病第一線；不造成明顯低血糖；可能減重。,腸胃不適、乳酸中毒、B12 缺乏。,腎功能差或顯影劑檢查前後需注意。,普通,0,,2026-07-08 16:53:00,2026-07-08 16:53:00
13,Atorvastatin,Statin 降血脂藥,抑制 HMG-CoA reductase，降低肝臟膽固醇合成並增加 LDL receptor。,降低 LDL；心血管風險控制常用；晚上或固定時間服用。,肌肉痠痛、橫紋肌溶解、肝指數上升。,注意與 CYP3A4 抑制劑交互作用。,普通,0,,2026-07-08 16:53:00,2026-07-08 16:53:00
14,Amoxicillin,Penicillin 類抗生素,抑制細菌細胞壁 peptidoglycan 交聯。,常用於呼吸道、中耳炎、部分牙科感染；可與 clavulanate 合併。,過敏、皮疹、腹瀉、C. difficile 感染。,青黴素過敏史要先確認。,普通,0,,2026-07-08 16:53:00,2026-07-08 16:53:00
15,Omeprazole,PPI 胃酸抑制劑,不可逆抑制胃壁細胞 H+/K+ ATPase。,GERD、消化性潰瘍、H. pylori 療法常見；飯前服用效果佳。,低鎂、B12 缺乏、感染風險增加、骨折風險。,長期使用需定期評估必要性。,普通,0,,2026-07-08 16:53:00,2026-07-08 16:53:00
16,Albuterol,短效 beta-2 agonist,刺激 beta-2 受體，使支氣管平滑肌放鬆。,急性氣喘緩解藥；不是長期控制單方首選。,心悸、手抖、低血鉀。,使用頻率增加代表控制不佳，需重新評估治療。,普通,0,,2026-07-08 16:53:00,2026-07-08 16:53:00
17,Morphine,Opioid 止痛藥,活化 mu opioid receptor，抑制疼痛傳遞。,重度疼痛；呼吸抑制與縮瞳是經典考點。,便秘、嗜睡、呼吸抑制、噁心、成癮。,解毒可用 naloxone；便秘常需預防處理。,普通,0,,2026-07-08 16:53:00,2026-07-08 16:53:00
18,Morphi22,Opioid 止痛藥,活化 mu opioid receptor，抑制疼痛傳遞。,22重度疼痛；呼吸抑制與縮瞳是經典考點。,便秘、嗜睡、呼吸抑制、噁心、成癮2。,解毒可用 44naloxone；便秘常需預防處理。,普通,0,,2026-07-08 16:53:00,2026-07-08 16:53:00
